id,name,country,continent,city,funFact,photoUrl,photographer,photographerUrl
41,great wall of china,China,AS,Huairou District,"The Great Wall is poisonous. Arsenic, ""the poison of kings"" was used to prevent erosion of the Wall by insects like ants.",,,
42,aloba arch,Chad,AF,Ennedi Plateau,"Aloba Arch's span is considered to be the 8th longest known natural arch, and the longest outside of China and Utah.",,,
43,mount rushmore,United States of America,NA,"Black Hills, South Dakota","There’s a hidden chamber behind Lincoln’s head, a remnant of grand plans for an inner museum and repository that were abandoned. ",,,
44,table mountain,South Africa,AF,Cape Town,"Table Mountain is often covered by a blanket of clouds, known fondly by many as the “tablecloth.”",,,
45,st pauls cathedral,England,EU,London,The Whispering Gallery inside the dome allows people to hear the slightest sounds from opposite sides of the room.,,,
46,palace of the versailles,France,EU,"Versailles, Paris","The Versailles’ Hall of Mirrors contains 357 Venetian-made mirrors, which at the time were among the most expensive items to possess.",,,
47,chichen itza,Mexico,NA,Yucatan,"Built by the Mayans, the most famous structure in Chichén Itzá is El Castillo, the giant pyramid shown in the pnoto.",,,
48,taj mahal,India,AS,"Agra, Uttar Pradesh","For the precious stones used in the Taj’s construction, marble was brought from Rajasthan, blue stones from Tibet, emeralds from Sri Lanka, jasper from Punjab and crystals from China.",,,
49,great sphinx of giza,Egypt,AF,Giza Necropolis,The Great Sphinx is the world’s oldest monumental structure. The exact cause of the Sphinx’s missing nose is not known.,,,
50,hwange national park,Zimbabwe,AF,Matabeleland North,"Hwange National Park has all five of Africa's Big Five species which include the African elephant, African lion, Cape buffalo, African leopard, and the rhino.",,,
51,stonehenge,England,EU,"Salisbury Plain, Wiltshire","An entire trilithon fell down in 1797, and in 1900 one of the upright sarsens of the outer circle fell down, along with its lintel. The site has undergone multiple restorations and re-erections.",,,
52,mount fuji,Japan,AS,Shizuoka Prefecture,"Women were strictly forbidden from climbing the mountain for centuries until 1872, for fear of making Konohana-sakuya-hime angry and causing Mt Fuji to erupt.",,,
53,the london eye,England,EU,"County Hall, London","Once the tallest Ferris wheel in the world, the London Eye is currently the tallest in Europe.",,,
54,neuschwanstein castle,Germany,EU,Schwangau,"Famous, fairy-tale like Neuschwanstein castle was the inspiration behind Disneyland’s Sleeping Beauty Castle.",,,
55,the dead sea,Jordan,AS,Jordan Rift Valley,"The high concentration of salts and minerals in the Dead Sea increases its density, meaning you can lie down and FLOAT in the sea!",,,
56,tapei 101,Taiwan,AS,Taipei,"Taipei 101 has systems to control electricity use, garbage production and water consumption, making it the tallest green building in the world.",,,
57,banff national park,Canada,NA,"Albera’s Rockies, Alberta","The Valley of the Ten Peaks is a valley in the park crowned by ten prominent peaks, and includes Moraine Lake.",,,
58,spanish steps,Italy,EU,"Piazza di Spagna, Rome","The Spanish Steps are the longest and widest staircase in Europe, with 135 steps, covering a change in elevation of 29 metres (95 feet).",,,
59,marina bay sands,Singapore,AS,Bayfront Ave,The Sands SkyPark (ship at the top of the building) is home to the world's largest elevated swimming pool at 150 metres (492 feet).,,,
60,shwedagon pagoda,Myanmar,AS,Yangon,Shwedagon Padoga is crowned with a 72-carat diamond.,,,
61,the shard,England,EU,"London Bridge Street, London","It takes a team of six window cleaners one week to clean one side of the Shard, and about a month to clean the entire building.",,,
62,seoul tower,South Korea,AS,"Yongsan District, Seoul","Seoul Tower marks the highest point in Seoul. From there, you can get a panoramic view of the city below.",,,
63,potala palace,China,AS,"Lhasa, Tibet","No building in Lhasa is allowed to be taller than Potala Palace, as a sign of respect for the holy site.",,,
64,the terracotta army museum,China,AS,"Xi’An, Shaanxi","Each warrior is unique, with different armor, hairstyles, and features. The sculptures are so detailed that it's possible to guess each warrior's age, rank, and personality.",,,
65,great pyramid of cholula,Mexico,NA,"San Andrés Cholula, Puebla","The pyramid is hidden under a mountain, and early settlers built a church on top of it without knowing it was there.",,,
66,itsukushima shrine,Japan,AS,Hatsukaichi,"Itsukushima Jinja is built to create the illusion of floating on the water, separate from island, which could be approached by the devout ""like a palace on the sea.",,,
67,antelope canyon,United States of America,NA,"Navajo land east of Leechee, Arizona","Antelope Canyon is a slot canyon, a type of geological formation that occurs when water erodes a crack in bedrock over thousands of years. If you ever visit, be wary of flash floods!",,,
68,dom luis bridge,Portugal,EU,Porto,"Dom Luís I Bridge is a double-deck metal arch bridge, the longest of its type in the world at the time of its construction.",,,
69,tulum ruins,Mexico,SA,"Tulum, Quintana Roo","Overlooking the Caribbean Sea, Tulum was a major Mayan port.",,,
70,victoria falls,Zimbabwe,AF,Zambezi River,"Victoria Falls is the world's largest waterfall, with a width of 1,708 meters (1603 feet) and a height of 108 meters (360 feet). It's one and a half times wider than Niagara Falls and twice as high.",,,
71,sahara desert,North Africa,AF,Nearly all of North Africa,"There are over 90 oases in the Sahara. But as they’re spread out over 3.6 million miles, we wouldn’t recommend setting out in search of water!",,,
